"","community","codeStem","mean","se","n","upper","lower","time13","time25","time37","time59","time7","size"
"151","oo","ANBA1",0,NA,1,NA,NA,0.0469130823455471,-0.0993112554657246,0.0218899165235181,-0.103252571821386,0.0304337987213546,"large"
"152","oo","anba2",0,NA,1,NA,NA,0.0308627165408004,0.135059917983965,-0.12428372121498,0.245988270123959,0.0555756158068889,"small"
"153","oo","ANBA2",0,NA,1,NA,NA,-0.00872145767451728,-0.0853922566397013,-0.026987938225993,-0.0437921818372272,-0.0403453335760045,"large"
"154","oo","anba3",0,NA,1,NA,NA,0.00254886169741527,-0.138897551861865,-0.179413741789988,-0.170205509624361,0.161114826587667,"small"
"155","oo","ANBA3",0,NA,1,NA,NA,0.0394700218250452,-0.0319979506582742,-0.175834168506877,NA,0.0318376757759624,"large"
"156","oo","baae1",0,NA,1,NA,NA,0.0506733141748187,0.0632058900103907,NA,0.249242374654059,0.0865954346985746,"small"
"157","oo","BAAE1",0,NA,1,NA,NA,-0.0069316019842719,0.0466683862383192,NA,0.0176600375126436,-0.0160969184700982,"large"
"158","oo","baae2",1,NA,1,NA,NA,-0.0829632797337264,0.000654366564618712,-0.00710971480994673,0.121425341773436,NA,"small"
"159","oo","BAAE2",0,NA,1,NA,NA,0.0243190921814269,0.0886198487458135,-0.170175847672548,-0.135248559048893,0.0154381434841812,"large"
"160","oo","baae3",0,NA,1,NA,NA,0.0362259117370211,-0.0212052213573875,-0.203766855004044,0.423238394027834,0.0140627428163357,"small"
"161","oo","BAAE3",0,NA,1,NA,NA,0.106559336527725,0.131017595092666,0.063386274392452,-0.0688264814343019,0.108285437342288,"large"
"162","oo","EUSC1",0,NA,1,NA,NA,0.0363951744341732,-0.0679750085562981,0.0878393459278138,0.0476455305122396,0.0439688525360607,"large"
"163","oo","EUSC2",0,NA,1,NA,NA,0.0531864774798676,-0.0716166266083622,0.0920199233117765,0.180854508592521,-0.00311440618062049,"large"
"164","oo","EUSC3",0,NA,1,NA,NA,-0.0040820085801737,-0.0335848110319903,0.153036169240948,0.203578705067089,0.0178164923092363,"large"
"165","oo","eute1",0,NA,1,NA,NA,NA,-0.155607867169818,-0.208278667507822,-0.138925618405658,-0.0336519172917488,"small"
"166","oo","EUTE1",0,NA,1,NA,NA,-0.0179629645275754,0.0654020017641381,0.168833300383115,0.0168446900608532,0.0120364937583679,"large"
"167","oo","eute2",0,NA,1,NA,NA,-0.24458318879482,-0.016537418818937,-0.0180421878057269,-0.105341654319056,0.00322671920576053,"small"
"168","oo","EUTE2",0,NA,1,NA,NA,NA,0.193162595519858,0.0155499974680097,0.139625629353786,-0.00453234267909563,"large"
"169","oo","eute3",0,NA,1,NA,NA,-0.0274305250490313,NA,-0.026007026877433,-0.0551331095477677,-0.00887515023545603,"small"
"170","oo","EUTE3",0,NA,1,NA,NA,0.00851420706942605,0.0200696773190684,NA,0.191070805448947,-0.00236784612882528,"large"
"171","oo","excu1",0,NA,1,NA,NA,0.0571188892880408,0.123019739304221,NA,0.120763765750768,0.0728977676588253,"small"
"172","oo","EXCU1",0,NA,1,NA,NA,0.00447525987627506,-0.0181865935045636,-0.185265237324599,-0.0237817220322947,-0.0205417075070642,"large"
"173","oo","excu2",1,NA,1,NA,NA,NA,-0.265869012466226,-0.140479632376766,0.0851238558825723,-0.0248525994466024,"small"
"174","oo","EXCU2",0,NA,1,NA,NA,-0.0135782930702487,-0.0187848431298919,-0.0498851164763055,-0.228869804500768,-0.072394143059471,"large"
"175","oo","excu3",0,NA,1,NA,NA,0.0325032860814551,-0.0318057639368568,0.197170106391048,-0.130760872526805,NA,"small"
