"","codeStem","code","species","size","waterperc","density","barkthick","C","N","P","K","Ca","Fe","Mn","Zn","Arabinose","Galactose","Glucose","Mannose","Rhamnose","Xylose","Lignin"
"48","excu2","excu","excu","small",45.282076884673,0.639280125195618,3.66,50.7,0.32585,152.097,4082.97,3024.044,571.33,95.783,19.104,NA,NA,NA,NA,NA,NA,NA
"49","EXCU2","EXCU","excu","large",46.3845507881383,0.638798687031621,2.12,50.162,0.18737,78.654,2012.923,4065.779,12.935,57.534,5.387,1.358,2.2885,39.809,2.1435,0.49,16.688,28.6315
"50","excu3","excu","excu","small",47.6343592099219,0.613821138211382,1.28,51.739,0.39841,182.509,3244.51,3245.551,1084.505,100.571,18.833,NA,NA,NA,NA,NA,NA,NA
"51","EXCU3","EXCU","excu","large",47.777401894452,0.638798687031621,2.12,51.088,0.19666,117.967,2496.805,4694.042,10.931,69.223,5.818,1.3125,2.1365,39.489,2.1345,0.5325,16.3325,28.0385
"52","hase1","hase","hase","small",42.2131147540984,0.646341463414634,0.41,49.0395,0.114375,53.247,653.9155,1334.3055,1794.192,119.7765,12.4605,NA,NA,NA,NA,NA,NA,NA
"53","hase2","hase","hase","small",42.6934097421203,0.614772727272727,0.739999999999998,49.0395,0.114375,53.247,653.9155,1334.3055,1794.192,119.7765,12.4605,NA,NA,NA,NA,NA,NA,NA
"54","hase3","hase","hase","small",46.2555066079295,0.625563909774436,1.11,49.0395,0.114375,53.247,653.9155,1334.3055,1794.192,119.7765,12.4605,NA,NA,NA,NA,NA,NA,NA
"55","isan1","isan","isan","small",36.5573770491803,0.69438202247191,1.21,49.588,0.06088,134.195,1257.07,1059.658,603.424,108.11,23.033,NA,NA,NA,NA,NA,NA,NA
"56","isan4","isan","isan","small",36.3485477178423,0.695974576271187,0.329999999999998,49.588,0.06088,134.195,1257.07,1059.658,603.424,108.11,23.033,NA,NA,NA,NA,NA,NA,NA
"57","isan5","isan","isan","small",43.1328036322361,0.649415692821369,1.23,49.588,0.06088,134.195,1257.07,1059.658,603.424,108.11,23.033,NA,NA,NA,NA,NA,NA,NA
"58","jasc1","jasc","jasc","small",42.8858530347664,0.687523686012589,5.04666666666667,50.929,0.84108,59.078,1186.167,1064.644,3221.096,128.565,29.703,NA,NA,NA,NA,NA,NA,NA
"59","JASC1","JASC","jasc","large",44.1953797720185,0.687523686012589,5.04666666666667,51.217,0.53029,101.09,616.917,740.462,78.904,243.756,16.161,1.664,1.279,43.412,1.592,0.363,14.4385,31.1825
"60","jasc2","jasc","jasc","small",40.50822122571,0.670063694267516,6.88,51.422,0.83169,127.654,1786.275,1230.208,3367.58,254.524,13.87,NA,NA,NA,NA,NA,NA,NA
"61","JASC2","JASC","jasc","large",43.4795148300408,0.687523686012589,5.04666666666667,52.471,0.69339,83.297,370.497,927.664,38.18,236.129,6.876,1.7045,1.344,40.8465,1.869,0.4415,14.3935,32.899
"62","jasc3","jasc","jasc","small",44.0746689392946,0.696253681885125,4.13,51.814,0.72998,147.787,969.769,450.052,6038.189,88.507,9.516,NA,NA,NA,NA,NA,NA,NA
