"","community","codeStem","mean","se","n","upper","lower","size","time13","time25","time37","time59","time7"
"127","basid","PELI1",7,NA,1,NA,NA,"large",-0.0268238468376295,0.0883851058119847,-0.0882004754138279,-0.10026013961294,-0.0635663459819557
"128","basid","peli2",10,NA,1,NA,NA,"small",NA,NA,NA,NA,NA
"129","basid","PELI2",25,NA,1,NA,NA,"large",NA,-0.155691172366064,NA,-0.255791099793412,-0.140670194566127
"130","basid","peli3",23,NA,1,NA,NA,"small",NA,NA,NA,NA,NA
"131","basid","PELI3",10,NA,1,NA,NA,"large",-0.0388345175754374,NA,0.0333553160213016,0.0598506537242653,-0.0265184436673853
"132","basid","pepu1",34,NA,1,NA,NA,"small",NA,NA,NA,NA,NA
"133","basid","PEPU1",18,NA,1,NA,NA,"large",-0.0219507812516982,0.0877641739349737,0.106970016044298,-0.0482304019932278,-0.0103238546876922
"134","basid","pepu2",15,NA,1,NA,NA,"small",NA,NA,NA,NA,NA
"135","basid","PEPU2",25,NA,1,NA,NA,"large",0.0169490743675246,0.0530869724275199,-0.131289432298368,0.0616245912877043,0.0266389044718604
"136","basid","pepu3",11,NA,1,NA,NA,"small",NA,NA,NA,NA,NA
"137","basid","PEPU3",18,NA,1,NA,NA,"large",0.0261753326358087,-0.106991862210042,-0.131067051275377,0.107463535872913,0.00616611368182022
"138","basid",NA,21.6111111111111,1.58828937518634,36,23.1994004862974,20.0228217359248,"small",NA,NA,NA,NA,NA
"139","oo","acpa1",0,NA,1,NA,NA,"small",NA,NA,NA,NA,NA
"140","oo","ACPA1",0,NA,1,NA,NA,"large",-0.00138679819732471,-0.00344590702296178,0.151742582609904,0.0204441406232944,0.0240617118222821
"141","oo","acpa3",0,NA,1,NA,NA,"small",NA,NA,NA,NA,NA
"142","oo","ACPA3",0,NA,1,NA,NA,"large",-0.0246350956716952,0.0300286126154735,0.0852883764182221,0.0330306083426673,-0.028687944393657
"143","oo","acpa4",0,NA,1,NA,NA,"small",NA,NA,NA,NA,NA
"144","oo","ACPA4",0,NA,1,NA,NA,"large",0.0352073906636932,1.41249191091327e-06,0.226373160096887,0.0963719647315434,0.0519355937493095
"145","oo","alli1",0,NA,1,NA,NA,"small",NA,NA,NA,NA,NA
"146","oo","ALLI1",1,NA,1,NA,NA,"large",-0.0196621438179702,0.156384978829923,0.178553120266486,0.0332637005191792,0.0271474751415853
"147","oo","alli2",0,NA,1,NA,NA,"small",NA,NA,NA,NA,NA
"148","oo","ALLI2",0,NA,1,NA,NA,"large",-0.0803598680245759,-0.0725674821661687,-0.132818186088387,-0.204997625597132,-0.00429839259478385
"149","oo","alli3",0,NA,1,NA,NA,"small",NA,NA,NA,NA,NA
"150","oo","ALLI3",2,NA,1,NA,NA,"large",0.0712828166832786,0.174620955360667,0.218197071381413,0.168188779506885,0.070861565483158
"151","oo","ANBA1",0,NA,1,NA,NA,"large",-0.0290296042837986,-0.143146130375669,-0.146151203959608,-0.200971706433762,-0.00895966880536467
"152","oo","anba2",0,NA,1,NA,NA,"small",NA,NA,NA,NA,NA
"153","oo","ANBA2",0,NA,1,NA,NA,"large",-0.0689161119052862,-0.161435973832984,-0.229646913899067,-0.193062651016472,-0.0688911797410354
"154","oo","anba3",0,NA,1,NA,NA,"small",NA,NA,NA,NA,NA
"155","oo","ANBA3",0,NA,1,NA,NA,"large",-0.00384502148788092,-0.119618910303217,-0.285414307324452,NA,0.0230939856843784
"156","oo","baae1",0,NA,1,NA,NA,"small",NA,NA,NA,NA,NA
"157","oo","BAAE1",0,NA,1,NA,NA,"large",-0.0304566973492626,-0.0136782385665855,NA,-0.103729738297594,-0.0497801083891046
"158","oo","baae2",1,NA,1,NA,NA,"small",NA,NA,NA,NA,NA
"159","oo","BAAE2",0,NA,1,NA,NA,"large",-0.0611885672623495,-0.0106367063473712,-0.2925095061621,-0.285296515263506,-0.039814543310898
"160","oo","baae3",0,NA,1,NA,NA,"small",NA,NA,NA,NA,NA
"161","oo","BAAE3",0,NA,1,NA,NA,"large",0.0669300803363335,0.136856580807527,0.0431748425436608,-0.104737829006188,0.0597796802679592
"162","oo","EUSC1",0,NA,1,NA,NA,"large",-0.0103093312475058,-0.0644977423027906,0.0165088750410433,-0.0580872595783388,0.0318452186181509
"163","oo","EUSC2",0,NA,1,NA,NA,"large",0.0210028761677434,-0.0233872748683022,0.0765059992830461,0.147665661189599,-0.0119398606324432
"164","oo","EUSC3",0,NA,1,NA,NA,"large",-0.0412911873500331,-0.0134152186208497,0.121533934069521,0.113841300025697,-0.00773448316414358
"165","oo","eute1",0,NA,1,NA,NA,"small",NA,NA,NA,NA,NA
"166","oo","EUTE1",0,NA,1,NA,NA,"large",0.00438388794780288,-0.0355508416420464,0.27572240224673,-0.0578726467732574,-0.0154809709851758
"167","oo","eute2",0,NA,1,NA,NA,"small",NA,NA,NA,NA,NA
"168","oo","EUTE2",0,NA,1,NA,NA,"large",NA,0.135310969938294,0.1331261695695,0.152076484843188,-0.023548130708831
"169","oo","eute3",0,NA,1,NA,NA,"small",NA,NA,NA,NA,NA
"170","oo","EUTE3",0,NA,1,NA,NA,"large",0.0504145972954337,0.00691310008333362,NA,0.198876860472495,0.00908738235592671
"171","oo","excu1",0,NA,1,NA,NA,"small",NA,NA,NA,NA,NA
"172","oo","EXCU1",0,NA,1,NA,NA,"large",0.0371261565888166,0.0337827171326814,-0.154788849982868,0.0369093741705892,0.0138872766756207
"173","oo","excu2",1,NA,1,NA,NA,"small",NA,NA,NA,NA,NA
"174","oo","EXCU2",0,NA,1,NA,NA,"large",0.00910086402500308,0.0323737308485944,-0.12119589855132,-0.152794925258833,-0.0184819451891311
"175","oo","excu3",0,NA,1,NA,NA,"small",NA,NA,NA,NA,NA
"176","oo","EXCU3",0,NA,1,NA,NA,"large",-0.00240478803731276,-0.0734062006627938,-0.168589575424671,-0.042748697353395,0.0162471010376652
"177","oo","jasc1",0,NA,1,NA,NA,"small",NA,NA,NA,NA,NA
